hub_file,slug,title,highlight,values,flags,verified
numbers.csv,keiyaku-kigen,契約前後の説明・交付期限,35条説明8日 / 37条書面5日,原則8日以内 | 原則5日以内 | 8日以内,verify_official,
numbers.csv,teate-hoshu,手付金・報酬の上限,手付金20% / 報酬上限,代金の20%以内 | 手付倍返し | 率・定率表で算定 | 税込33万円,verify_official,
numbers.csv,teitiku-nensu,借地借家の年数・期間,借地30年 / 借家1年超,30年 | 50年以上 | 1年超 | 1年以下,verify_official,
numbers.csv,seinin-nenrei,成年・後見・保佐の年齢,成年18歳 / 保佐17歳,18歳 | 20歳未満 | 17歳から | 常に制限,verify_official,
numbers.csv,touki-koukoku,登記・公告の期間,登記1か月 / 公告2週間,知った日から3年 | 契約後速やか | 2週間以上 | 公告終了後,verify_official,
numbers.csv,shiken-tensu,試験合格の得点・比率,50点 / 4科目,50点以上 | 50問 | 4科目 | 要項で確認,verify_official,
numbers.csv,goukaku-ritsu-yohaku,合格率・受験者数（記入例）,要項・統計で確認,要記入 | 要記入 | 要記入 | 試験要項,concept_page,
numbers.csv,moshi-jikan-yohaku,模擬試験・演習時間（記入例）,要項で確認,要記入 | 同左 | 要記入 | 受験票,concept_page,
numbers.csv,shikenryo-yohaku,受験手数料（記入例）,要項で確認,要記入 | 要記入 | 原則不可 | 公式情報,concept_page,
numbers.csv,shutsudai-su-yohaku,出題数・配点（記入例）,要項で確認,要記入 | 1問1点等 | 要記入 | 要項参照,verify_official,
numbers.csv,s31-study-week-hours,週あたり学習時間の配分目安,目安は学習計画用・公式数値と混同しない,個人の生活リズムに合わせ調整 | 週1回は計画を修正 | 過去問と短答を併用 | 要項・範囲を先に確認,verify_official,
numbers.csv,s31-review-interval,復習間隔（1日・3日・7日）,目安は学習計画用・公式数値と混同しない,個人の生活リズムに合わせ調整 | 週1回は計画を修正 | 過去問と短答を併用 | 要項・範囲を先に確認,verify_official,
numbers.csv,s31-past-question-count,過去問の目標解数,目安は学習計画用・公式数値と混同しない,個人の生活リズムに合わせ調整 | 週1回は計画を修正 | 過去問と短答を併用 | 要項・範囲を先に確認,verify_official,
numbers.csv,s31-mock-frequency,模擬試験の実施回数,目安は学習計画用・公式数値と混同しない,個人の生活リズムに合わせ調整 | 週1回は計画を修正 | 過去問と短答を併用 | 要項・範囲を先に確認,verify_official,
