site	kind,hub,cluster_key,count,members
exam-site-shell	angle_batch,numbers,pass-margin,2,s32-pass-margin:合格ライン＋余裕点の設定 | s33-pass-margin:合格ライン＋余裕点
exam-site-shell	angle_batch,mistakes,kon-error-no-note,2,s32-kon-error-no-note:誤答を記録しない | s33-kon-error-no-note:直前誤答未記録
exam-site-shell	angle_batch,mistakes,kon-youkou-skip,2,s32-kon-youkou-skip:要項を読まず演習開始 | s33-kon-youkou-skip:直前要項未確認
takken-master	angle_batch,numbers,houshuu-baibai,2,s33-houshuu-baibai:売買媒介報酬上限 | s34-houshuu-baibai:売買報酬3%+6万
takken-master	angle_batch,mistakes,kon-ju35-ju37,2,s33-kon-ju35-ju37:35条と37条の混同 | s35-kon-ju35-ju37:35条37条深掘りの典型誤答
takken-master	angle_batch,mistakes,kon-touki,2,s33-kon-touki:登記移転の混同 | s35-kon-touki:登記の典型誤答
boiler-master.jp	angle_batch,numbers,jikan-haibun,2,s31-jikan-haibun:試験時間配分の実務 | s34-jikan-haibun:試験時間配分
boiler-master.jp	angle_batch,numbers,kamoku-bunseki,2,s32-kamoku-bunseki:科目別学習配分 | s34-kamoku-bunseki:科目別得点管理
boiler-master.jp	angle_batch,numbers,kensa-cycle,2,s34-kensa-cycle:ボイラー検査周期の確認 | s35-kensa-cycle:検査の数値整理（基礎整理）
boiler-master.jp	angle_batch,numbers,kensa-shuki,2,s32-kensa-shuki:ボイラー検査周期の代表値 | s33-kensa-shuki:法定検査周期の代表値
boiler-master.jp	angle_batch,numbers,teisuii-keihou,2,s31-teisuii-keihou:低水位警報の点検手順 | s34-teisuii-keihou:低水位警報の設定
boiler-master.jp	angle_batch,mistakes,kon-junkan,2,s32-kon-junkan:循環方式の再混同 | s33-kon-junkan:水循環方式の再混同
boiler-master.jp	angle_batch,mistakes,kon-kensa-shubetsu,2,s32-kon-kensa-shubetsu:検査種別の取り違え | s33-kon-kensa-shubetsu:使用検査と定期検査の混同
boiler-master.jp	angle_batch,mistakes,kon-nenryo,2,s32-kon-nenryo:燃料種別の誤認 | s34-kon-nenryo:燃料切替手順の混同
mentalhealth-master	angle_batch,compare,kyushoku-shushoku,2,s31-kyushoku-shushoku:休職支援と就業配慮の違い | s32-kyushoku-shushoku:休職手続と復職手続の違い
mentalhealth-master	angle_batch,compare,line-sangyoui,2,s32-line-sangyoui:ラインケアと産業医連携 | s34-line-sangyoui:ラインケアと産業医面接
mentalhealth-master	angle_batch,compare,privacy-limited,2,s32-privacy-limited:情報の限定提供と共有範囲 | s34-privacy-limited:限定提供と情報共有範囲
mentalhealth-master	angle_batch,numbers,fukki-step-days,2,s31-fukki-step-days:段階的復職ステップ管理 | s34-fukki-step-days:段階的復職の日数目安
mentalhealth-master	angle_batch,numbers,kenshu-frequency,2,s31-kenshu-frequency:管理監督者研修の実施頻度 | s34-kenshu-frequency:管理監督者研修頻度
mentalhealth-master	angle_batch,numbers,kenshu-hours,2,s32-kenshu-hours:管理監督者研修の時間・頻度 | s33-kenshu-hours:管理監督者研修時間
mentalhealth-master	angle_batch,numbers,kyushoku-period,2,s32-kyushoku-period:休職期間の管理・記録 | s34-kyushoku-period:休職期間の管理記録
mentalhealth-master	angle_batch,numbers,mensetsu-timing,2,s32-mensetsu-timing:医師面接・面接指導の実施タイミング | s34-mensetsu-timing:医師面接の実施タイミング
mentalhealth-master	angle_batch,numbers,record-retention,3,s31-record-retention:相談・健診記録の保存確認 | s33-record-retention:相談記録の保存管理 | s34-record-retention:相談記録の保存期間
mentalhealth-master	angle_batch,numbers,shudan-cycle,2,s32-shudan-cycle:集団分析の実施サイクル | s38-shudan-cycle:集団分析の数値整理（判例・ガイド）
mentalhealth-master	angle_batch,numbers,youkou-review,2,s32-youkou-review:要項・ガイドライン確認回数 | s34-youkou-review:要項確認回数
mentalhealth-master	angle_batch,mistakes,kon-harassment,3,s32-kon-harassment:ハラスメント対応主体の取り違え | s33-kon-harassment:ハラスメント対応主体の誤認 | s34-kon-harassment:ハラスメント初動の逆転
mentalhealth-master	angle_batch,mistakes,kon-kyushoku,2,s32-kon-kyushoku:休職と解雇手続の混同 | s34-kon-kyushoku:休職と復職手続の混同
mentalhealth-master	angle_batch,mistakes,kon-privacy,2,s32-kon-privacy:情報共有範囲の拡大誤認 | s34-kon-privacy:情報限定提供の拡大誤認
chintaikanrishi-master	angle_batch,numbers,koushinryo-1getsu,2,koushinryo-1getsu-s32:合意更新の更新料上限 | koushinryo-1getsu-s33:合意更新の更新料
chintaikanrishi-master	angle_batch,mistakes,jutaku-jigyou-same,2,jutaku-jigyou-same-s32:住宅と事業用の規制を同一視する誤り | jutaku-jigyou-same-s34:住宅と事業用規制を混同する誤り
eisei1shu-master	angle_batch,compare,tokuka-first-class-compare,2,tokuka-first-class-compare-s33:第一類特化則の重点比較 | tokuka-first-class-compare-s35:化学物質第一類管理の比較
kangyou-master	angle_batch,compare,kubun-shoyu-senyu,2,kubun-shoyu-senyu-s32:専有部分と共用部分 | kubun-shoyu-senyu-s34:区分所有者と管理者
kangyou-master	angle_batch,compare,sokai-inin,2,sokai-inin-s32:総会と管理者の権限 | sokai-inin-s34:総会決議と管理者権限
kangyou-master	angle_batch,compare,tekiseika-kanrin,2,tekiseika-kanrin-s32:適正化法とマンション管理業法 | tekiseika-kanrin-s34:適正化法とマン管業法
kangyou-master	angle_batch,numbers,kanrinin-kibo,2,kanrinin-kibo-s32:管理員配置の規模基準（構造・取扱い） | kanrinin-kibo-s33:管理員配置基準
kangyou-master	angle_batch,numbers,mankan-5mon,2,mankan-5mon-s32:マン管士合格の管業5問免除 | mankan-5mon-s33:マン管士5問免除
kangyou-master	angle_batch,numbers,tokubetsu-5bun4,2,tokubetsu-5bun4-s32:特別決議の議決権割合 | tokubetsu-5bun4-s33:特別決議5分の4
kangyou-master	angle_batch,mistakes,kanrisha-kiyaku,2,kanrisha-kiyaku-s32:管理者が規約変更できるとする誤り | kanrisha-kiyaku-s34:管理者が規約変更できる誤り
kangyou-master	angle_batch,mistakes,senyu-kyoyo-same,2,senyu-kyoyo-same-s32:専有部分と共用部分を同一視する誤り | senyu-kyoyo-same-s34:専有と共用を混同する誤り
kangyou-master	angle_batch,mistakes,tekisei-mankan-same,2,tekisei-mankan-same-s32:適正化法とマン管業法を同一視する誤り | tekisei-mankan-same-s34:適正化法とマン管業法を混同する誤り
kikenbutsu-master	angle_batch,compare,ido-ukewatashi,2,ido-ukewatashi-s32:移動・譲渡・引渡しの届出 | ido-ukewatashi-s33:移送と譲渡・引渡し
kikenbutsu-master	angle_batch,compare,tensou-kiroku-cmp,2,tensou-kiroku-cmp-s35:転送記録：譲渡・引渡しの届出と移送の比較 | tensou-kiroku-cmp-s40:転送記録保存：譲渡・引渡しの届出と移送の比較
